,fen,lik
275,6k1/p6p/2p5/2K2P2/1P6/4P2P/7r/8 b - - 2 43,0.0
276,6k1/p6p/2p3p1/2K1BP2/1P2PP1P/8/7r/8 b - - 2 43,0.0
277,6k1/p6p/2p5/2K1B1P1/1P2P3/7r/8/8 b - - 2 43,9.06171488791034e-07
278,7k/p6p/2p3p1/2K1B3/4PP1P/7r/8/8 b - - 2 43,0.0
279,6k1/p6p/2p3p1/2K2P2/4PP1P/8/7r/8 b - - 2 43,0.0
280,6k1/7p/2p1B1p1/2K3P1/1P2PP1P/7r/8/8 b - - 2 43,0.0
281,6k1/1p5p/2p5/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
282,6k1/7p/2p3p1/2K1B1P1/1P2P2P/5P1r/8/8 b - - 2 43,0.0
283,6k1/7p/2p3p1/2K1B3/1P2PPPP/7r/8/8 b - - 2 43,0.0005499499624365345
284,6k1/p6p/6p1/2K3P1/1P2PP1P/8/8/8 b - - 2 43,0.0
285,5k2/7p/6p1/2K1P3/1P3PPP/7r/8/8 b - - 2 43,0.14833533742795396
286,7k/p7/2p3p1/2K1B1P1/1P2PPP1/7r/8/8 b - - 2 43,0.0
287,6k1/p6p/2p3p1/2K1BP2/1P2P2P/6r1/8/8 b - - 2 43,0.0
288,6k1/p1p4p/6p1/2K1B1P1/1P2PP1P/8/8/8 b - - 2 43,0.0
289,8/p5k1/2p3p1/4B2P/2KP1P1P/7r/8/8 b - - 2 43,0.0
290,6k1/8/2p3p1/2KB2P1/1P2PP2/7r/8/8 b - - 2 43,0.0
291,6k1/p6p/6p1/4B1P1/1PK1P1P1/7r/8/8 b - - 2 43,1.4886508092027115e-06
292,7k/7p/2p3p1/2K2P2/1P2PP1P/7r/8/8 b - - 2 43,0.11368419195821428
293,6k1/7p/2p5/2K1B1P1/2P3P1/7r/8/8 b - - 2 43,1.0214606786467166e-05
294,6k1/6p1/2p3p1/2K2BP1/1P2PP1P/8/8/8 b - - 2 43,0.0
295,7k/p6p/2p3p1/1P3B2/2K1PP1P/8/8/8 b - - 2 43,0.0
296,6k1/1pp3p1/6p1/4B3/1PK1PPPP/7r/8/8 b - - 2 43,1.0360749118685369e-05
297,6k1/p6p/2p3p1/2K4P/1P2PP1P/8/8/8 b - - 2 43,0.0
298,5k2/8/p4p2/2K3PP/1P2P3/7r/8/8 b - - 2 43,0.058264869459343595
299,6k1/6p1/2p5/2KB2P1/4PP1P/8/8/8 b - - 2 43,0.0
